2025-10-19 13:23:58,026 - BooksByPageDiscoverer - INFO - Starting book discovery from page 1 to 2
2025-10-19 13:23:58,027 - BooksByPageDiscoverer - INFO - Total pages to process: 2
2025-10-19 13:24:00,170 - BooksByPageDiscoverer - INFO - [Page 1/2] (50.0%) | Books: 14 | Topics: 12 | Duplicates: 0 | ETA: ~0.0h
2025-10-19 13:25:32,083 - BooksByPageDiscoverer - INFO - Loaded progress: 26 unique books, 0 duplicates skipped
2025-10-19 13:25:32,083 - BooksByPageDiscoverer - INFO - Starting book discovery from page 1 to 4093
2025-10-19 13:25:32,083 - BooksByPageDiscoverer - INFO - Total pages to process: 4093
2025-10-19 13:25:33,130 - BooksByPageDiscoverer - INFO - [Page 1/4093] (0.0%) | Books: 26 | Topics: 18 | Duplicates: 14 | ETA: ~1.2h
2025-10-19 13:26:07,691 - BooksByPageDiscoverer - INFO - [Page 10/4093] (0.2%) | Books: 126 | Topics: 68 | Duplicates: 26 | ETA: ~4.0h
2025-10-19 13:26:44,549 - BooksByPageDiscoverer - INFO - [Page 20/4093] (0.5%) | Books: 252 | Topics: 133 | Duplicates: 26 | ETA: ~4.1h
2025-10-19 13:27:18,555 - BooksByPageDiscoverer - INFO - [Page 30/4093] (0.7%) | Books: 380 | Topics: 180 | Duplicates: 26 | ETA: ~4.0h
2025-10-19 13:27:52,518 - BooksByPageDiscoverer - INFO - [Page 40/4093] (1.0%) | Books: 495 | Topics: 217 | Duplicates: 26 | ETA: ~4.0h
2025-10-19 13:28:26,826 - BooksByPageDiscoverer - INFO - [Page 50/4093] (1.2%) | Books: 611 | Topics: 255 | Duplicates: 26 | ETA: ~3.9h
2025-10-19 13:29:00,869 - BooksByPageDiscoverer - INFO - [Page 60/4093] (1.5%) | Books: 725 | Topics: 290 | Duplicates: 26 | ETA: ~3.9h
2025-10-19 13:29:35,942 - BooksByPageDiscoverer - INFO - [Page 70/4093] (1.7%) | Books: 836 | Topics: 322 | Duplicates: 26 | ETA: ~3.9h
2025-10-19 13:30:09,741 - BooksByPageDiscoverer - INFO - [Page 80/4093] (2.0%) | Books: 951 | Topics: 359 | Duplicates: 26 | ETA: ~3.9h
2025-10-19 13:31:01,355 - BooksByPageDiscoverer - INFO - [Page 90/4093] (2.2%) | Books: 1,063 | Topics: 393 | Duplicates: 26 | ETA: ~4.1h
2025-10-19 13:31:34,936 - BooksByPageDiscoverer - INFO - [Page 100/4093] (2.4%) | Books: 1,181 | Topics: 418 | Duplicates: 26 | ETA: ~4.0h
2025-10-19 13:32:08,829 - BooksByPageDiscoverer - INFO - [Page 110/4093] (2.7%) | Books: 1,285 | Topics: 442 | Duplicates: 26 | ETA: ~4.0h
2025-10-19 13:32:42,887 - BooksByPageDiscoverer - INFO - [Page 120/4093] (2.9%) | Books: 1,401 | Topics: 459 | Duplicates: 26 | ETA: ~4.0h
2025-10-19 13:33:17,207 - BooksByPageDiscoverer - INFO - [Page 130/4093] (3.2%) | Books: 1,513 | Topics: 477 | Duplicates: 26 | ETA: ~3.9h
2025-10-19 13:33:51,124 - BooksByPageDiscoverer - INFO - [Page 140/4093] (3.4%) | Books: 1,621 | Topics: 501 | Duplicates: 26 | ETA: ~3.9h
2025-10-19 13:34:25,132 - BooksByPageDiscoverer - INFO - [Page 150/4093] (3.7%) | Books: 1,732 | Topics: 524 | Duplicates: 26 | ETA: ~3.9h
2025-10-19 13:34:58,915 - BooksByPageDiscoverer - INFO - [Page 160/4093] (3.9%) | Books: 1,842 | Topics: 553 | Duplicates: 26 | ETA: ~3.9h
2025-10-19 13:35:33,125 - BooksByPageDiscoverer - INFO - [Page 170/4093] (4.2%) | Books: 1,955 | Topics: 576 | Duplicates: 26 | ETA: ~3.9h
2025-10-19 13:36:08,297 - BooksByPageDiscoverer - INFO - [Page 180/4093] (4.4%) | Books: 2,072 | Topics: 591 | Duplicates: 26 | ETA: ~3.8h
2025-10-19 13:36:48,184 - BooksByPageDiscoverer - INFO - [Page 190/4093] (4.6%) | Books: 2,182 | Topics: 608 | Duplicates: 26 | ETA: ~3.9h
2025-10-19 13:37:22,514 - BooksByPageDiscoverer - INFO - [Page 200/4093] (4.9%) | Books: 2,292 | Topics: 624 | Duplicates: 26 | ETA: ~3.8h
2025-10-19 13:37:56,380 - BooksByPageDiscoverer - INFO - [Page 210/4093] (5.1%) | Books: 2,397 | Topics: 645 | Duplicates: 26 | ETA: ~3.8h
2025-10-19 13:38:30,586 - BooksByPageDiscoverer - INFO - [Page 220/4093] (5.4%) | Books: 2,504 | Topics: 661 | Duplicates: 26 | ETA: ~3.8h
